club,points,wins,draws,losses,goals_for,goals_against,games_played,avg_plyr_salary,league,goals,yellow_card,red_card,possession,passing,AerialsWon,tackles_pg,Interceptions pg,fouls_pg,shots,shots_on,shots_off,dribbles_pp_pg,rating,prop_shots_on,goals_pg
S.D. Eibar,51,14,9,15,44,50,38,840,La Liga,44,82,3,51.2,73.6,20.6,16.9,14.6,12.9,12.4,3.6,8.8,9.3,6.7,0.2903225806451613,1.1578947368421053
Girona FC,51,14,9,15,50,59,38,800,La Liga,50,105,0,47.5,76.2,17.7,16.1,12.9,16.2,12,4.1,7.9,9.5,6.73,0.3416666666666666,1.3157894736842106
RCD Espanyol,49,12,13,13,36,42,38,1360,La Liga,36,87,1,47.4,76.1,16.6,18.8,13.6,13.7,10.9,3.6,7.3,8.5,6.71,0.3302752293577982,0.9473684210526315
Real Sociedad,49,14,7,17,66,59,38,1740,La Liga,66,57,5,55.1,83.9,13.7,14.4,11.7,11,13.7,4.4,9.3,9.5,6.76,0.3211678832116789,1.736842105263158
RC Celta de Vigo,49,13,10,15,59,60,38,1260,La Liga,59,87,1,54.4,82.3,15,15.5,13.1,11.3,11.8,4.3,7.5,9.9,6.74,0.3644067796610169,1.5526315789473684
Deportivo Alavés,47,15,2,21,40,50,38,730,La Liga,40,102,4,42.7,72,17,18.5,13.1,15.9,10.3,3.6,6.7,8.7,6.68,0.34951456310679613,1.0526315789473684
Levante UD,46,11,13,14,44,58,38,640,La Liga,44,106,6,44.5,74.9,13.2,16.2,12.6,14.6,10.8,3.3,7.5,9.8,6.62,0.3055555555555555,1.1578947368421053
Athletic Bilbao,43,10,13,15,41,49,38,1850,La Liga,41,94,0,49.4,77.2,19.8,19.4,12.3,13.9,11.3,4,7.3,9.2,6.75,0.35398230088495575,1.0789473684210527
CD Leganés,43,12,7,19,34,51,38,680,La Liga,34,99,5,44.6,71.7,18.1,19,15.3,15.6,10.4,3.4,7,8.9,6.65,0.3269230769230769,0.8947368421052632
Deportivo de La Coruña,29,6,11,21,38,76,38,1150,La Liga,38,98,2,47.4,77.8,15.3,19.2,12.7,13.3,12.3,3.7,8.6,9.9,6.61,0.30081300813008127,1
UD Las Palmas,22,5,7,26,24,74,38,700,La Liga,24,87,3,53.8,81.9,13.3,17.2,13.4,12.7,10.9,3.3,7.6,11.8,6.54,0.3027522935779816,0.631578947368421
Málaga C.F.,20,5,5,28,24,61,38,1110,La Liga,24,92,8,45.3,75.1,16.2,19.6,13.1,16.1,10.6,3,7.6,8.1,6.53,0.2830188679245283,0.631578947368421
PSG,93,29,6,3,108,29,38,8410,Ligue 1,108,61,6,62.6,89.6,9.5,16.9,8.8,11.2,16.4,6.7,9.7,16.8,7.16,0.4085365853658537,2.8421052631578947
