league,R,club,goals,yellow_card,red_card,possession,passing,AerialsWon,tackles_pg,Interceptions pg,fouls_pg,shots,shots_on,shots_off,dribbles_pp_pg,rating
La Liga,12,RCD Espanyol,36,87,1,47.4,76.1,16.6,18.8,13.6,13.7,10.9,3.6,7.3,8.5,6.71
La Liga,13,S.D. Eibar,44,82,3,51.2,73.6,20.6,16.9,14.6,12.9,12.4,3.6,8.8,9.3,6.7
La Liga,14,Deportivo Alavés,40,102,4,42.7,72,17,18.5,13.1,15.9,10.3,3.6,6.7,8.7,6.68
La Liga,15,Getafe C.F.,42,126,5,42.3,65.9,15,18.8,12.8,17.7,9.8,3.5,6.3,7.8,6.67
La Liga,16,CD Leganés,34,99,5,44.6,71.7,18.1,19,15.3,15.6,10.4,3.4,7,8.9,6.65
La Liga,17,Levante UD,44,106,6,44.5,74.9,13.2,16.2,12.6,14.6,10.8,3.3,7.5,9.8,6.62
La Liga,18,Deportivo de La Coruña,38,98,2,47.4,77.8,15.3,19.2,12.7,13.3,12.3,3.7,8.6,9.9,6.61
La Liga,19,UD Las Palmas,24,87,3,53.8,81.9,13.3,17.2,13.4,12.7,10.9,3.3,7.6,11.8,6.54
La Liga,20,Málaga C.F.,24,92,8,45.3,75.1,16.2,19.6,13.1,16.1,10.6,3,7.6,8.1,6.53
Bundesliga,1,Bayern Munich,92,42,0,62.4,87.6,15.9,17.9,10.4,10.8,17.7,7,10.7,8.1,7.13
Bundesliga,2,Schalke 04,53,64,2,47.9,79,17.7,21.2,14.6,16.1,11.9,4.9,7,9.3,6.88
Bundesliga,3,Borussia Dortmund,64,39,3,56.9,82.7,17.8,20.4,9.9,11.9,14.3,5.2,9.1,8.9,6.87
Bundesliga,4,Bayer Leverkusen,58,55,4,53.5,81.2,17.3,19,11.5,13.3,15,5.1,9.9,9.1,6.84
Bundesliga,5,RasenBallsport Leipzig,57,42,6,53.8,79.3,19.9,20.5,11.7,13.3,14.4,5.4,9,10.7,6.84
Bundesliga,6,Hoffenheim,66,71,0,50.6,81.5,14.2,20.2,10.1,14.9,14,5.3,8.7,6.9,6.82
Bundesliga,7,Borussia Moenchengladbach,47,47,0,51.4,81.6,16.4,19.9,11.3,11.7,13.4,4.7,8.7,9.2,6.77
Bundesliga,8,VfB Stuttgart,36,55,2,47.3,77.1,20.2,20.5,12.2,13.6,10.7,3.6,7.1,7,6.75
Bundesliga,9,Eintracht Frankfurt,45,72,2,48.8,75.7,21,18.3,12,15.5,11.5,4.4,7.1,7.2,6.75
Bundesliga,10,Augsburg,43,66,2,46.7,73.2,21.7,21.3,11.8,14.4,12.8,4.3,8.5,5.4,6.75
Bundesliga,11,Hertha Berlin,43,49,3,47,76.6,21.3,19.3,11.4,14.5,9.4,3.9,5.5,7.1,6.74
Bundesliga,12,Hannover 96,44,63,0,47.9,73.7,24.8,19.6,11.2,14.3,12.8,4.3,8.5,6.8,6.73
Bundesliga,13,Werder Bremen,37,55,0,47.6,76.1,20.2,17.6,12.4,15.4,12.9,4.5,8.4,6,6.71
Bundesliga,14,Mainz 05,38,59,3,46,74.3,21.4,20.6,11.8,15.6,12.2,4.4,7.8,8,6.68
Bundesliga,15,Wolfsburg,36,55,6,49.6,79.3,18.6,17.3,11.9,13.1,10.4,3.5,6.9,6.5,6.67
Bundesliga,16,Freiburg,32,50,5,45.8,74.8,22.1,18.8,11.5,13.1,11.3,3.5,7.8,6.4,6.63
Bundesliga,17,Hamburger SV,29,57,4,48.9,73.3,20.9,21.4,10.8,14.7,11.6,4.1,7.5,7.8,6.6
Bundesliga,18,FC Cologne,35,68,1,47.9,77.1,20.4,19.9,11.4,14.1,11.4,3.4,8,6.8,6.6
Ligue 1,1,PSG,108,61,6,62.6,89.6,9.5,16.9,8.8,11.2,16.4,6.7,9.7,16.8,7.16
Ligue 1,2,Lyon,87,71,2,54.8,85,15.5,16.9,11.9,12.5,15.3,6.1,9.2,14.8,7.04
Ligue 1,3,Marseille,80,81,3,55.5,84.2,16.1,19.4,11.6,13.1,16.4,6.2,10.2,14,6.99
Ligue 1,4,Monaco,85,70,4,50.9,81.2,17.1,18.9,13.1,13.4,12.9,4.8,8.1,9.2,6.94
Ligue 1,5,Montpellier,36,72,1,48,79.4,17.4,17.9,13.2,11.8,12.9,4.2,8.7,10,6.78
Ligue 1,6,Bordeaux,53,73,2,50.4,80.9,15.9,18.4,12.2,14,12.4,4,8.4,12.1,6.77
Ligue 1,7,Nice,53,80,4,56.3,87.5,10.8,15.5,11.4,11.7,12.8,4.8,8,13.3,6.77
Ligue 1,8,Rennes,50,60,5,50,79.4,18.5,17.3,10.9,12.6,12.3,3.8,8.5,9.4,6.75
Ligue 1,9,Saint-Etienne,47,71,8,50.8,80.8,17.3,17.8,10.6,13.4,11.1,4.1,7,9.8,6.74
Ligue 1,10,Nantes,36,60,5,45.5,75.1,18.3,19.9,11.2,12.9,13.2,3.6,9.6,9.1,6.72
Ligue 1,11,Guingamp,48,63,2,49.8,79.6,17.1,16.8,12.5,13.1,11.8,4.4,7.4,10.4,6.72
Ligue 1,12,Amiens,37,70,5,45.2,73.6,17.5,17.3,13.7,13.3,9.5,2.7,6.8,10.4,6.71
Ligue 1,13,Dijon,55,69,5,49,78.1,16.4,18,14.3,12.9,11.6,4.2,7.4,11.6,6.71
Ligue 1,14,Toulouse,38,94,3,46.5,74.3,20.5,18.4,12.6,15.5,11.4,3.9,7.5,10.3,6.68
